name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;244;0;429;3065;992;3065;969;0
header;200;144;200;185;1847;185;1847;144
A;530;554;530;554;530;554;530;554
A;484;557;484;559;488;559;488;557
B;718;590;718;632;759;632;759;590
D;817;591;817;632;852;632;852;591
B;772;591;772;632;800;632;800;591
B;812;773;812;798;834;798;834;773
D;374;1001;374;1025;401;1025;401;1001
A;790;1053;790;1060;797;1060;797;1053
B;547;1054;547;1071;571;1071;571;1054
A;887;1929;887;1936;893;1936;893;1929
A;559;2204;559;2212;566;2212;566;2204
A;503;2913;503;2918;507;2918;507;2913
A;561;2980;561;2981;563;2981;563;2980
